TeamCode,PreSeason,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Place,NickName,Conference,Division,2019PlayoffSeed,MainColor,LogoPath
ARI,22,19,15,12,13,16,,,,,,,,,,,,,,Arizona,Cardinals,NFC,West,0,#97233f,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\ARI.png
ATL,18,18,21,22,26,29,,,,,,,,,,,,,,Atlanta,Falcons,NFC,South,0,#c9243f,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\ATL.png
BAL,2,2,2,2,2,4,,,,,,,,,,,,,,Baltimore,Ravens,AFC,North,1,#2c2d8b,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\BAL.png
BUF,10,11,7,6,5,5,,,,,,,,,,,,,,Buffalo,Bills,AFC,East,5,#00338d,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\BUF.png
CAR,29,28,30,30,29,22,,,,,,,,,,,,,,Carolina,Panthers,NFC,South,0,#0085ca,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\CAR.png
CHI,21,22,20,17,14,15,,,,,,,,,,,,,,Chicago,Bears,NFC,North,0,#001128,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\CHI.png
CIN,30,30,31,31,30,27,,,,,,,,,,,,,,Cincinnati,Bengals,AFC,North,0,#fb4f13,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\CIN.png
CLE,19,20,26,23,18,14,,,,,,,,,,,,,,Cleveland,Browns,AFC,North,0,#d7372a,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\CLE.png
DAL,5,8,12,14,17,18,,,,,,,,,,,,,,Dallas,Cowboys,NFC,East,0,#002244,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\DAL.png
DEN,17,23,23,24,28,28,,,,,,,,,,,,,,Denver,Broncos,AFC,West,0,#fb4f13,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\DEN.png
DET,28,25,25,27,23,25,,,,,,,,,,,,,,Detroit,Lions,NFC,North,0,#0076b6,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\DET.png
GB,15,7,5,4,4,3,,,,,,,,,,,,,,Green Bay,Packers,NFC,North,2,#1f3731,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\GB.png
HOU,24,16,19,20,20,23,,,,,,,,,,,,,,Houston,Texans,AFC,South,4,#031f2f,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\HOU.png
IND,14,14,18,16,16,12,,,,,,,,,,,,,,Indianapolis,Colts,AFC,South,0,#002c5f,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\IND.png
JAC,32,32,27,26,27,30,,,,,,,,,,,,,,Jacksonville,Jaguars,AFC,South,0,#000000,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\JAC.png
KC,1,1,1,1,1,1,,,,,,,,,,,,,,Kansas City,Chiefs,AFC,West,2,#a71930,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\KC.png
LAC,20,24,22,18,19,19,,,,,,,,,,,,,,Los Angeles,Chargers,AFC,West,0,#0080c6,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\LAC.png
LAR,11,17,10,7,8,8,,,,,,,,,,,,,,Los Angeles,Rams,NFC,West,0,#003594,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\LAR.png
LV,23,21,17,13,15,17,,,,,,,,,,,,,,Las Vegas,Raiders,AFC,West,0,#a5acaf,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\LV.png
MIA,27,26,28,28,24,24,,,,,,,,,,,,,,Miami,Dolphins,AFC,East,0,#008e97,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\MIA.png
MIN,13,10,14,19,21,21,,,,,,,,,,,,,,Minnesota,Vikings,NFC,North,6,#432b6c,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\MIN.png
NE,9,15,9,10,9,10,,,,,,,,,,,,,,New England,Patriots,AFC,East,3,#002244,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\NE.png
NO,4,4,3,5,10,9,,,,,,,,,,,,,,New Orleans,Saints,NFC,South,3,#cbb686,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\NO.png
NYG,26,29,29,29,31,31,,,,,,,,,,,,,,New York,Giants,NFC,East,0,#003d7e,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\NYG.png
NYJ,25,27,32,32,32,32,,,,,,,,,,,,,,New York,Jets,AFC,East,0,#115740,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\NYJ.png
PHI,6,12,16,21,22,20,,,,,,,,,,,,,,Philadelphia,Eagles,NFC,East,4,#004953,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\PHI.png
PIT,12,13,11,11,7,7,,,,,,,,,,,,,,Pittsburgh,Steelers,AFC,North,0,#ffb612,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\PIT.png
SEA,7,5,4,3,3,2,,,,,,,,,,,,,,Seattle,Seahawks,NFC,West,5,#002a5c,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\SEA.png
SF,3,3,6,9,11,13,,,,,,,,,,,,,,San Francisco,49ers,NFC,West,1,#b8083e,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\SF.png
TB,8,6,13,15,12,11,,,,,,,,,,,,,,Tampa Bay,Buccaneers,NFC,South,0,#d50909,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\TB.png
TEN,16,9,8,8,6,6,,,,,,,,,,,,,,Tennessee,Titans,AFC,South,6,#4b92db,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\TEN.png
WAS,31,31,24,25,25,26,,,,,,,,,,,,,,Washington,Football Team,NFC,East,0,#5d0024,C:\Users\n0233916\Desktop\R projects\NFL_Rankings\TeamLogos\WAS.png
